symbolicName,state,fragment,version
com.adobe.acs.acs-aem-commons-bundle (Base),Active,False,3.10.0
com.adobe.acs.acs-aem-commons-bundle (Other),Active,False,3.1.0
com.adobe.acs.acs-aem-tools-bundle (Base),Active,False,0.0.28
com.adobe.acs.acs-aem-tools-bundle (Other),Active,False,0.0.26
com.adobe.acs.acs-aem-tools-bundle-livereload (Base),Installed,False,0.0.28
com.adobe.acs.acs-aem-tools-bundle-livereload (Other),Installed,False,0.0.26
com.adobe.cq.commerce.cq-commerce-pim (Base),Active,False,5.11.32
com.adobe.cq.commerce.cq-commerce-pim (Other),Active,False,5.11.30
com.day.cq.cq-upgrades-executor (Base),Active,False,1.2.4
com.day.cq.cq-upgrades-executor (Other),Installed,False,1.2.4
com.adobe.cq.cq-dtm (Base),Active,False,0.2.26
com.adobe.cq.cq-dtm (Other),Active,False,0.2.22
com.adobe.cq.cq-dam-mac-sync-helper (Base),Active,False,1.2.36
com.adobe.cq.cq-dam-mac-sync-helper (Other),Active,False,1.2.34
com.adobe.cq.dam.cq-scene7-imaging (Base),Active,False,1.2.80
com.adobe.cq.dam.cq-scene7-imaging (Other),Active,False,1.2.70
com.day.cq.wcm.cq-wcm-translation (Base),Active,False,1.2.178
com.day.cq.wcm.cq-wcm-translation (Other),Active,False,1.2.174
com.day.cq.wcm.cq-wcm-foundation (Base),Active,False,5.9.114
com.day.cq.wcm.cq-wcm-foundation (Other),Active,False,5.9.108
com.day.cq.dam.adobe-dam-idsprint (Base),Active,False,0.1.22
com.day.cq.dam.adobe-dam-idsprint (Other),Active,False,0.1.20
com.adobe.granite.auth.saml (Base),Active,False,0.4.18.CQ620-B0002
com.adobe.granite.auth.saml (Other),Active,False,0.4.18
com.adobe.granite.asset.core (Base),Active,False,2.2.36.CQ620-B0004
com.adobe.granite.asset.core (Other),Active,False,2.2.36
com.day.cq.cq-authhandler (Base),Active,False,5.6.40.CQ620-B0002
com.day.cq.cq-authhandler (Other),Active,False,5.6.40
com.adobe.granite.crx-packagemgr (Base),Active,False,1.0.86.CQ620-B0004
com.adobe.granite.crx-packagemgr (Other),Active,False,1.0.86
com.adobe.granite.license (Base),Active,False,1.0.12.CQ620-B0002
com.adobe.granite.license (Other),Active,False,1.0.12
com.adobe.granite.omnisearch.core (Base),Active,False,1.0.48.CQ620-B0003
com.adobe.granite.omnisearch.core (Other),Active,False,1.0.48.CQ620-B0002
com.day.cq.cq-replication (Base),Active,False,6.0.14.CQ620-B0002
com.day.cq.cq-replication (Other),Active,False,6.0.14
com.adobe.granite.rest.assets (Base),Active,False,1.0.14.CQ620-B0003
com.adobe.granite.rest.assets (Other),Active,False,1.0.14.CQ620-B0001
com.adobe.granite.rest.api (Base),Active,False,1.0.14.CQ620-B0001
com.adobe.granite.rest.api (Other),Active,False,1.0.14
com.adobe.granite.threaddump (Base),Active,False,1.0.26.CQ620-B0001
com.adobe.granite.threaddump (Other),Active,False,1.0.14
com.adobe.granite.workflow.console (Base),Active,False,1.0.26.CQ620-B0002
com.adobe.granite.workflow.console (Other),Active,False,1.0.26
com.adobe.granite.workflow.core (Base),Active,False,2.0.12.CQ620-B0014
com.adobe.granite.workflow.core (Other),Active,False,2.0.12.CQ620-B0002
com.day.cq.cq-xssprotection (Base),Active,False,5.5.72
com.day.cq.cq-xssprotection (Other),Active,False,5.5.68
pdfcore (Base),Active,False,3.0.576571
pdfcore (Other),Active,False,3.0.571237
pdfencryption (Base),Active,False,3.0.576571
pdfencryption (Other),Active,False,3.0.571237
PDFServices_extraction (Base),Active,False,3.0.576571
PDFServices_extraction (Other),Active,False,3.0.571237
PDFServices_manipulations (Base),Active,False,3.0.576571
PDFServices_manipulations (Other),Active,False,3.0.571237
com.adobe.xmp.core (Base),Active,False,1.0.3
com.adobe.xmp.core (Other),Active,False,1.0.1
com.adobe.xmp.xmpcore (Base),Active,False,6.0.6
com.adobe.xmp.xmpcore (Other),Active,False,5.0.30
com.adobe.cq.cq-target-integration (Base),Active,False,1.0.226
com.adobe.cq.cq-target-integration (Other),Active,False,1.0.224
com.day.cq.cq-personalization (Base),Active,False,5.9.296
com.day.cq.cq-personalization (Other),Active,False,5.9.292
org.apache.felix.http.jetty (Base),Active,False,3.2.4.B001
org.apache.felix.http.jetty (Other),Active,False,3.1.6.B002
org.apache.felix.http.sslfilter (Base),Active,False,1.0.8
org.apache.felix.http.sslfilter (Other),Active,False,1.0.4
org.apache.jackrabbit.jackrabbit-api (Base),Active,False,2.12.2
org.apache.jackrabbit.jackrabbit-api (Other),Active,False,2.12.1
org.apache.sling.servlets.post (Base),Active,False,2.3.12
org.apache.sling.servlets.post (Other),Active,False,2.3.8
org.apache.sling.discovery.base (Base),Active,False,1.1.4
org.apache.sling.discovery.base (Other),Active,False,1.1.2
org.apache.sling.discovery.commons (Base),Active,False,1.0.16
org.apache.sling.discovery.commons (Other),Active,False,1.0.10
org.apache.sling.installer.core (Base),Active,False,3.8.1.R1770974
org.apache.sling.installer.core (Other),Active,False,3.6.8
org.apache.sling.discovery.oak (Base),Active,False,1.2.14
org.apache.sling.discovery.oak (Other),Active,False,1.2.6
org.apache.sling.resourceresolver (Base),Active,False,1.4.16
org.apache.sling.resourceresolver (Other),Active,False,1.4.8
org.apache.sling.rewriter (Base),Active,False,1.1.4
org.apache.sling.rewriter (Other),Active,False,1.1.2
org.apache.sling.commons.scheduler (Base),Active,False,2.5.2
org.apache.sling.commons.scheduler (Other),Active,False,2.4.14
be.kpngroup.cq-components-bscs-impl (Base),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-components-bscs-impl (Other),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-components-dob-impl (Base),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-components-dob-impl (Other),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-components-ei-impl (Base),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-components-ei-impl (Other),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-components-in-impl (Base),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-components-in-impl (Other),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-components-ldap-impl (Base),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-components-ldap-impl (Other),Resolved,False,1.32.0.SNAPSHOT
